keyword_pencarian,username,timestamp,text
nikel papua,Data Safe,2025-10-05T12:22:13.000Z,"PERCUMA..
..
PUNYA TNI GAGAH..
..
BERANI NYA AMA RAKYAT KECIL..
TIAP HARI PM TAT TET TOT..
KAWAL CUKONG..
JADI BEKING SABUNG AYAM..
BEKING JUDI..
BEKING BALAK HUTAN..
..
JENDERAL2 KAYA RAYA..
EMAS PAPUA HILANG..
NIKEL DI GARONG..
BATU BARA DI JARAH..
..
MATI SAMA OPM..
ANUMERTA.."
nikel papua,Niar Ibrahim Rose,2025-10-05T11:43:24.000Z,"Kekayaan dicuri???? Hah?????????

Noh tambang nikel, batubara, pembabatan hutan Kalimantan, Sulawesi & Papua, pelakunye siape?

HAH???

Tolong kasih paham bang 
@Dandhy_Laksono
 "
nikel papua,Terlintas..,2025-10-04T01:20:24.000Z,"Documentation of Nickel mine PT. GAG Nikel, located on GAG Island, Raja Ampat District, West Papua. It has a concession area of 13,136 Ha and is located in the mega biodiversity area in Raja Ampat, West Papua,"
nikel papua,MANTO GUDONO SK,2025-10-03T00:24:45.000Z,"Parah sih ini. Kenapa bukan Pertamina dulu yang diperbanyak di Papua? Kenapa malah sibuk ngatur-ngatur swasta?

Emas, Nikel Papua kalian ambil, tapi memperbanyak Pertamina di sana kalian ga mau.. 
@DPR_RI"
nikel papua,Grok,2025-09-26T11:44:41.000Z,"Beberapa jenis pertambangan utama di Indonesia meliputi: batu bara, minyak bumi, gas alam, emas, perak, tembaga, timah, nikel, bauksit, bijih besi, fosfat, dan intan. Sumber daya ini tersebar di berbagai wilayah seperti Sumatera, Kalimantan, dan Papua. (Sumber: berbagai data"
nikel papua,I love u,2025-09-26T09:54:42.000Z,Yg ada nikel ga cuma malut kali bos .banyak .. daerah yg ada . Papua aja ada mas malah ga cuma nikel
nikel papua,Nathaniel Rayestu,2025-09-26T09:50:03.000Z,Ok nikel effect and all but.. What happened to Papua Tengah? Freeport berhenti nambang apa gmn?
nikel papua,J-A,2025-09-25T13:43:33.000Z,"Wajar Rakyat Papua mau Merdeka.

Bumi  yg Kaya, dengan emas, intan Berlin, Nikel, namun Rakyat masih banyak yg miskin Dan parahnya Pemimpin sibuk ngurusin Negara lain yg sedang berebut Tanah.

Kamis Gempa Nani Aldi"
nikel papua,Algashi,2025-09-25T07:22:20.000Z,"Udah berjamur bgtu kok bisa masih d kasih ke anak?pdhl dampaknya lgsg muncul kepermukaan korban bisa speak up. Pak prabowo klu mau korupsi mending tiru pak jokowi diem diem nambang nikel di papua,diem diem oplos pertamina,ngapain bikin MBG"
nikel papua,Miftah Rizaq,2025-09-24T11:43:40.000Z,"10. CABUT IZIN TAMBANG NIKEL DI PULAU GAG, RAJA AMPAT!
11. HENTIKAN KENAIKAN HARGA PANGAN!
12. MENOLAK PROGRAM FOOD ESTATE-PSN DI PAPUA SELATAN!
13. WUJUDKAN PENDIDIKAN GRATIS, ILMIAH, DEMOKRATIS, DAN MENGABDI KEPADA RAKYAT DI SEMUA JENJANG!"
nikel papua,kabarcsr.com,2025-09-23T08:52:25.000Z,"Demi Hilirisasi, IAGI Minta Proyek Nikel di Papua Barat Terapkan Good Mining Practice"
nikel papua,Hans Seringham,2025-09-22T23:34:02.000Z,"Kejar itu pajak perusahaan tambang nikel di Morowali, Halmahera, Papua"
nikel papua,nico delanoHenry@P.,2025-09-22T03:29:10.000Z,"Jalan2 di bangun  itu aja. 
Imbalan nya, di ambil  Nikel.. Emas Freeport.   Infrastruktur  pusat punya  anggaran. 
Jokowi  itu istilah nya  Calo.
Rakyat Papua ttp seneng  Jokowi, karena  sudah di bikinin Jalan."
nikel papua,Tera Yugita,2025-09-21T14:17:11.000Z,"situasi rakyat raja Ampat Papua 
tindakan rakyat tolak tambang nikel raja Ampat Papua 

- rehat sejenak -"
nikel papua,nico delanoHenry@P.,2025-09-21T05:42:18.000Z,"MELAWAN  LUPA..
Momen  ini  Rakyat Papua  tertipu selama  10  tahun.
NIKEL  dan  EMAS FREEPORT.. 
Di Korupsi  selama  10 tahun. 
Kehidupan  Rakyat  Papua  tetap  terkebelakang. 
   Anak  sekolah  cukup  tau  baca2, di Papua  Pegunungan."
nikel papua,ؘjiji •ᴥ•,2025-09-20T05:41:23.000Z,"Tambahin satu lagi, ketua PBNU yg baru setelah zionist Yahya 
@YahyaCStaquf
 yang punya saham paling besar di PT GAG nikel Papua, Fahrur Rozi bilang ompreng MBG alias food tray mengandung babi dari China halal tinggal dicuci saja
11. Normalisasi kandungan babi Makan Beracun Gratis"
nikel papua,Dhamar,2025-09-19T05:18:17.000Z,"mining in Raja Ampat exposes modern colonization both western & elites fuel  ‘green’ EV demand, exploiting us. PT Gag Nikel scars ecosystems while bureaucrats bend, no negotiation, just corrupt. Global politics & greed connect the “first country’ to Papua, drain & damaging all"
nikel papua,IDN Times,2025-09-18T04:02:00.000Z,"Pemerintah disebut telah kembali mengizinkan PT Gag Nikel di Kabupaten Raja Ampat, Papua Barat Daya untuk melakukan tambang nikel. Anggota Komisi XII DPR RI Fraksi PDI Perjuangan, Yulian Gunhar, menilai pemerintah pusat terlalu tergesa-gesa dalam memberikan izin untuk PT Gag"
nikel papua,nico delanoHenry@P.,2025-09-18T02:22:46.000Z,Hasil  dari  Emas Freeport dan Nikel di Papua.  Abadi Rakyat Papua  miskin  dan  Terkebelakang  hidup nya.
nikel papua,oswar mungkasa,2025-09-17T14:23:57.000Z,Raja Ampat terancam kembalinya operasi PT Gag Nikel adalah bencana bagi rakyat Indonesia dan alam Papua
nikel papua,nico delanoHenry@P.,2025-09-17T10:15:05.000Z,"Yang perintah siapa dulu.. 
Bahul  tetap setia...
Kasian rakyat Papua.. Abadi  miskin.  Karena  8 tahun  Emas Freeport dan  Nikel  Jokowi  rampok.. itulah  pajak SDA  7 %
masuk APBN."
nikel papua,Info Jateng,2025-09-17T09:21:39.000Z,"Pemerintah Indonesia mengizinkan PT GAG Nikel untuk beroperasi kembali di Raja Ampat, Papua Barat Daya, sejak Rabu (03/09)."
