video_id,penulis,tanggal,like_count,teks
JgF-A4rA1s8,@diaarief811,2025-09-15 22:17:26+00:00,0,Tambang menghasilkan buat korupto oligarki ! Buat RAKYAT INDONESIA  Negara dapat apa ? Hancurrr rakyat di peras di tindas dikelidas di peras byr pajak.
qN3axfU1Geo,@tapaumakan,2025-08-31 11:07:47+00:00,0,"alhamdulillah sipadan dan ligitan milik malaysia, kalau kesono , hancur lebur."
mjxZeyIYeNo,@buletinalfatihid890,2025-08-17 16:00:51+00:00,0,"salut untuk NU, para mujahideen yang berjuang digaris depan melawan ekstrimis Wahhabisme."
mjxZeyIYeNo,@brodomasmu3938,2025-07-20 10:11:57+00:00,0,"Ya sekarang tambang itu sudah berhenti tidak? Harusnya stop tambang disana. Lihat penjelasan mas Ferry. Kalo anda tetap bersikeras mau tambang, maka anda adalah sampah yg patut dibuang."
mjxZeyIYeNo,@aabahwarung,2025-07-15 03:44:48+00:00,1,"entah kenapa masalah ini gw jadi makin yakin Indonesia ini bakal jadi negara paling tertinggal di SEA baik itu secara ekonomi, pariwisata, militer, industri, teknologi, kesehatan,dll. Di aplikasi sebelah malah banyak buzzer yang narasi nya mendukung adanya tambang di Raja Ampat, lebih miris nya entah kenapa ini Kementrian LHK, Parekrafm, dan pendidikan kok malah pada diem aja. Logika dasar aja Raja Ampat ini kalo di kelola lebih baik lagi bisa jadi tambang cuan buat Parekraf, salah satu tambang cuan nya Parekraf itu mau hilang loh mereka ga mikir apa kalo misal Bali udah bukan favorit mereka kan harus ngasih destinasi yang lain. Ya memang di Indonesia ini masih banyak destinasi wisata yang bagus, tapi Raja Ampat ini wisatawan asing udah banyak yang tau yang mana tinggal dikelola lebih baik lagi. Tapi ya sudahlah apa yang bisa diharapkan dari politik bagi-bagi kue kalo ampe ancur kaya Lebanon juga ya udah ga kaget. EKONOMI KALAH AMA KAMBOJA, PAREKRAF KALAH AMA THAILAND VIETNAM, INDUSTRI KALAH AMA VIETNAM, TEKNOLOGI&MILITER KALAH AMA SINGAPURA, KESEHATAN KALAH AMA MALAYSIA AHH BANGGA AKU JADI RAKYAT INDONESIA YANG SELALU DIRUGIKAN OLEH PRAKTEK POLITIK PRAKTIS."
JgF-A4rA1s8,@sadarlah3855,2025-07-14 00:28:44+00:00,0,"BAHLIL ADALAH PERUSAK BUMI PAPUA , GUNUNG DAN BUKIT DI PAPUA PASTI AKAN SELALU DI RUSAK DAN AKAN RATA DENGAN TANAH OLEH ALAT ALAT BERAT PENGUSAHA... KARENA YANG DI PIKIRAN NYA HANYA KEUNTUNGAN DAN UANG. SUATU SAAT PASTI BUMI PAPUA AKAN KENA BENCANA... CONTOH RAKUSNYA PENGUSAHA LUMPUR LAPINDO... RAKYAT YANG JADI KORBAN ,,BEGITUPUN HUTAN DI KALIMANTAN IKN PASTI AKAN HABIS JUGA OLEH PENGUSAHA.. LINGKARAN DI PEMERINTAH SEKARANG APALAGI KEBANYAKAN ORANG ORANG PENGUSAHA ..PENGUSAHA ITU RAKUS DIA INGIN UNTUNG TERUS...PEKERJA KITA DI GAJI CUMAN SEDIKIT..KERJA CUMAN BUAT MAKAN SAJA DAN DAYA BELI SEDIKIT. JIKA POHON BAMBU,PISANG,KELAPA DI TEBANG MASIH BISA TUMBUH LAGI SECARA CEPAT DAN DI TANAM SECARA CEPAT...ASAL JANGAN POHON HUTAN DI TEBANG...GUNUNG,LAUT, BUKIT JIKA DI KERUK DI RATAKAN ..APAKAH BISA ITU PENGUSAHA MENANAM KEMBALI UNTUK UTUH KEMBALI SEPERTI SEMULA ITU GUNUNG LAUT BUKIT.. MAKANYA BUMI JANGAN DI RUSAK..KARENA RAKUSNYA PENGUSAHA DEMI KEUNTUNGAN. YANG RUGI TETAP MASYARAKAT DAN PEMERINTAH PADA AKHIRNYA"
JgF-A4rA1s8,@rakyatjelata8217,2025-07-12 22:59:00+00:00,0,"Pemberantasan korupsi era SBY jauh lebih baik dibanding era Jokowi. Jika SBY dapat nilai 7, maka Jokowi dapat nilai 4. 
Era Jokowi, kroni-kroninya tidak ada yang diproses hukum kecuali yang melawan Jokowi. 
Era SBY sedekat dan sangat setia pun dijebloskan ke penjara jika korupsi."
qN3axfU1Geo,@VillainsAlr,2025-07-10 03:51:27+00:00,0,"Keren keren 
Di dalam sibuk akan kemajuan mereka lupa nilai kemanusiaan"
mjxZeyIYeNo,@akhmadtaufik2068,2025-07-05 02:43:58+00:00,1,"Bang, lu gamau bahas soal pencitraan pak bahlil apa. Yg pas beliau berkunjung ke pulau gag dan dia bilang klau masyarakat asli pulau gag minta eksploitasi nikel terus berlanjut. Faktanya itu bukan masyarakat asli pulau gag, karna dari logat berbicara dan ciri2 fisiknya itu lebih ke orang maluku bukan orang papua"
mjxZeyIYeNo,@powerrangerhitamlegam,2025-07-04 17:45:34+00:00,0,"BETUUUUL SAYA WARGA RIAU MERASAKANNYA, SETIAP HUJAN PASTI BANJIR, PEKANBARU BUKAN LAGI DISEBUT KOTA BERTUAH, TAPI KOTA BERKUAH, KARENA APA? HUTAN YANG HARUSNYA MENYERAP AIR SUDAH DI UBAH MENJADI SAWIT RIBUAN HEKTAR, YANG TERSISA HANYA KERUSAKAN LINGKUNGAN, KALIMANTAN JUGA SUDAH MERASAKANNYA, DAERAH YANG DULUNYA TIDAK PERNAH BANJIR SEKARANG BANJIR. JALAN LINTAS PENGHUBUNG SUMATERA BAGIAN TENGAH DAN SUMATERA SLATAN TERPUTUS YAITU KERINCI, MEMUTUS PERGERAKAN BARANG YANG MENYEBABKAN HARGA MELONJAK NAIK, SIAPA YANG DIUNTUNGKAN? OLIGARKI."
mjxZeyIYeNo,@iman5048,2025-07-02 08:43:26+00:00,0,selama acuan ekonomi dan kesejahteraan ke PDB dan belum QoL (Quality of Live) juga PP (Purchasing Power) aturan dan hal yang dilakuin juga begitu begitu aja
qN3axfU1Geo,@pahlipikharis8275,2025-07-01 04:58:14+00:00,0,"Belum pernah ke raja ampat, malah di rusak gblk banget sih pemerintah"
mjxZeyIYeNo,@agusgandanegara7380,2025-06-30 14:48:58+00:00,0,"Hampir sebulan stop sosmed,  sekalinya buka langsung video ini di timeline, 
Gw heran sama gus ulil & makhluk² sejenis nya, mereka tau siksa di neraka nanti kayak gmn tp mereka juga yg nantangin Allah SWT"
mjxZeyIYeNo,@herisoe4832,2025-06-29 05:02:55+00:00,0,Sayang sekali orang2 diatas serta anjing anjing penjaganya itu kelewat tuli dan apatis. Sehingga semua hingar bingar penolakan ga mereka dengarkan sama sekali.
mjxZeyIYeNo,@erwinendra3977,2025-06-29 01:10:03+00:00,1,"gw juga ASN di perindustrian tapi gw malu sama statement oknum ASN yg dibahas...
pantes aja ASN banyak yg disorot kinerjanya kalo kompetensi berfikirnya kayak gitu, PAD sama DBH aja harus di jelasin sama bang ferry.
tempat wisata di papua itu sebenarnya banyak tapi sulit banget pengelolaan dan promosinya salah satunya raja ampat yg udah go internasional, malah mau dirusak hanya gara2 sedikit tambang, ga masuk akal emang...
pariwisata adalah cara paling efektif untuk menggenjot PAD dan pertumbuhan ekonomi suatu daerah"
mjxZeyIYeNo,@generasi45,2025-06-29 00:14:51+00:00,0,"Sangat mantep bang very, penjelasan dengan nada yang seakan bilang ""gw ga terima banget kalau tambang meningkatkan perekonomian (jangka panjang dan luas)""

Bang very menjelaskan dengan jelas dengan sudut pandang ILMU EKONOMI dan rasanya kurang lengkap kalau Kalian tidak melihat video 
 https://youtu.be/ZD6bn_Wqn2s?si=10GzXGfAD_zXwJnc

Yang membahas masalah ini dari sudut pandang santri, dengan sudut pandang ILMU AGAMA. Yang seharusnya pro dengan kyai dan gus²nya tapi ini dengan kritis analitis dia tidak setuju dengan Gus Ulil. 


KERENNYA MEREKA BERDUA, BANG VERY SAMA YANG ADA DI VIDEO ITU, EMOSINYA BERBEDA BANGET SEPERTI BIASANYA MEMBAHAS HAL-HAL LAIN. SARAN BUAT SEMUANYA UNTUK LIHAT VIDEO ITU."
mjxZeyIYeNo,@yulianardianto7,2025-06-28 23:56:08+00:00,0,"Pun... jika ada pertambangan yg melakukan reklamasi (katakan demikian). Seberapa pulih ekosistem itu kembali baik ?? 10th, 20th, 50th, 100th...?? Sungai/mata air tercemar, berefek kepada kesehatan masyarakat sekitar. Apa itu juga terpulihkan ?? Mereka akan menanggung seumur hidup. 
Sudah Gus... pake saja prinsip bahwa ""tambang/hasil bumi"" sebagai ""ujian"" nafsu. Tahan godaannya  ✌️🙏🏻🙏🏻😂🤣😂🤣"
qN3axfU1Geo,@michaels7943,2025-06-28 23:25:47+00:00,0,Suruh itu bahLuL segera angkat kaki dari raja Ampat sana jangan bikin kotor dan rusak semua yang ada di Raja Ampat
mjxZeyIYeNo,@danupakdhe27,2025-06-27 18:27:48+00:00,0,"Dan faktanya, pemangku kebijakan tidak sungguh sungguh dalam menjaga amanah. Dari memberantas korupsi, mengurangi angka kemiskinan, apa lagi menjaga alam. Narasi ""Demi Bangsa dan Negara"" malah jadi terkesan lucu, apa lagi mereka yang mengucapkan demi mempertahankan jabatan"
qN3axfU1Geo,@KuwaKuwi-sx3lo,2025-06-27 04:59:12+00:00,0,"Perk*sa Alamnya Rampok Hartanya, Giliran Rusak Tinggal Cabut"
JgF-A4rA1s8,@SukestiIriani,2025-06-27 01:56:12+00:00,0,"Perlu diwaspadai regulasi yang dibuat Menteri, bisa jadi bertentangan dengan Peraturan Per UU an diatasnya dan atau PUU bidang lain."
mjxZeyIYeNo,@fikrihassan7203,2025-06-26 12:08:37+00:00,0,"percuma, kalau tidak ada perlawanan bersenjata terhadap pemerintah, mana mungkin mereka sadar, mending bundir sy"
JgF-A4rA1s8,@UtilobangYups,2025-06-26 00:53:50+00:00,0,Percuma izin di cabut tapi alam sudah di rusak
JgF-A4rA1s8,@ekamustika4154,2025-06-25 01:39:24+00:00,1,Manusia2 serakah yg terlibat dlm Pertambangan d raja 4.. Pelanggaran2 pun d Libas.. astaghfirullooh 😢 Azab Allooh menanti.. Na uzubillaah.. Lindungi kami Negeri ini Ya Allooh dr pejabat.. pengusaha dn org2 serakah. Aamiin Ya Robb
mjxZeyIYeNo,@Anandjazuli,2025-06-25 01:26:39+00:00,1,kalau raja ampat rusak yg untung tempat wisata negara mana Bang ?
mjxZeyIYeNo,@Anandjazuli,2025-06-25 01:26:17+00:00,0,kalau raja ampat rusak yg untuk tempat wisata negara mana Bang ?
mjxZeyIYeNo,@Yanto-k2d4l,2025-06-24 17:18:10+00:00,1,"Gua jadi heran sama si Bro ASN yang komen, cukup prihatin sekaligus miris melihat salah satu contoh saja sekelas ASN yang notabenya dia diseleksi secara ketat dan terstandarisasi diharapkan setidaknya logical reasoningnya diatas rata-rata malah justru sebaliknya 😅

Lu membandingkan kedua objek yang dimana secara kedua objek tersebut definisinya berbeda dan tidak ada kaitannya kok bisa gitu. Terus ada statent semua lahan tambanh bisa dikembalikan seperti semula, padahal semua lahan hutan hasil perbaikan mau itu reforestasi, rehabilitasi, bahkan restorasi sekalipun tidak bisa menjamin kualitas lahan akan sepenuhnya seperti semula itu bisa dibuktikan secara riset hutan butuh waktu bertahun"" Untuk regenerasi kalau ingin secara keseluruhan baik tanah, air, mikroorganisme, tanaman, ekosistem kembali seperti semula.

Hutan konservasi seperti di raja ampat diatur dalam UU no 34 tahun 2004 sebagai kawasan hutan yang harus dijaga dan dilindungi (didominasi kawasan cagar alam namun ada suaka margasatwa) juga dimana keberadaan nya karena disitu sebagai biodiversitas KEHATI, Sumber air, ekosistem kehidupan hutan, keseimbangan cuaca dan iklim, carbon storage, jasling, ekowisata, riset dan penelitian, kearifan lokal. Dari semua ke bermanfaatan itu bisa di optimalisasi dari segi ekologi, ekonomi, dan sosial. Contoh segi ekologi sebagai peranan yang cukup vital terutama untuk pelestarian dan keberlanjutan baik tumbuhan atau satwa diindonesia, segi ekonomi sebagai carbon trading, ekowisata, mata pencaharian masyarakat sekitar bisa dibuktikan diinternet, dari segi sosial budaya sebagai kearifan lokal/identias masyarakat. Makanya saya bukannya setuju atau tidak setuju terhadap praktek tambangnya namun lebih menekankan ke arah worth it atau tidak dengan konteks pemilihan raja ampat sebagai objeknya yang dimana itu merupakan kawasan konservasi. menurut saya sangat"" disayangkan apabila manfaat yang diperoleh dari proses tambang nikel tersebut tidak sebanding dengan apa yang sudah dikorbankan itu merupakan kerugian yang besar dimana hal seperti itu seharusnya perlu dipikirkan secara matang"" Sebab dampak dari tambang pasti akan merusak lingkungan baik itu pencemaran air, udara, erosi dan sebagainya dan masyarakat daerah setempat yang akan terkena imbasnya terutama yang dekat dengan area tambang. Jadi kesimpulan nya kita sebagai masyarakat sudah harus berubah pola pikirannya dengan melek terhadap isu atau permasalahan yang ada dan berusaha untuk cerdas dan aktif baik mengamati dan menganalisa informasi serta mengkritik terhadap kebijakan pemerintah apabila diangggap kurang sesuai atau keliru sehingga adanya peranan dari kedua pihak yang saling melengkapi yang dimana hal tersbut masih belum tercerminkan sampai sekarang secara menyeluruh 😁👊👍"
mjxZeyIYeNo,@muhammadfathurrahman9249,2025-06-24 11:08:57+00:00,0,"saya tinggal di kaltim. spesifiknya di balikpapan. kalau melakukan perjalanan balikpapan-samarinda, mau lewat jalur manapun kalian warga sipil bisa melihat galian bekas tambang yg tidak pernah di reklamasi. reklamasi tambang itu cuma mimpi basah dari menteri lingkungan hidup. bahkan anak-anak kaltim sudah banyak yang menjadi korban galian tambang. jadi argumen nomor 5 dari PNS tersebut sangat tolol dan tidak berdasarkan fakta di lapangan"
mjxZeyIYeNo,@masontauci,2025-06-24 08:27:14+00:00,0,"Just the way I look into this lovely girl, I hope the smoker father will more caring his family health. and STOP SMOKING. Thank you."
JgF-A4rA1s8,@yayatahadiatna4719,2025-06-24 08:08:48+00:00,0,"Cita cita pendiri NKRI untuk menguasai kekayaan alam udara,darat laut guna kemakmuran rakyat,sepenuhnya ada ditangan para generasi penerus yg cerdas,militan,jujur dan tak kenal menyerah.,luar biasa,Sukses.!"
mjxZeyIYeNo,@iandonovann6807,2025-06-24 07:11:12+00:00,0,bang gw mau nanya. kalo lo jadi ASN yang ke 2 kalinya. ketika ada kebijkan yang gak sejalan sama logika lo. lo bakalan ikut arus apa akan menentang ? untuk jaman sekarang kalo di kaasih kesempatan untuk jadi pejabat negara satu2 cara selain mundur ya oportunis gak sih. Bales Komen gw bang..
qN3axfU1Geo,@altairmusic9595,2025-06-24 05:42:11+00:00,1,Menuju Indonesia hancur 2030 👏
mjxZeyIYeNo,@cakrajayadi8436,2025-06-24 05:12:37+00:00,1,Kuliah bersama mas @ferryirwandi untuk melawan kebodohan dri buzzer yang ngaku ngaku ASN
mjxZeyIYeNo,@rizkihidayat1208,2025-06-24 02:48:01+00:00,0,"bener banget bro, kesejahteraan itu diliat dari aktifitas ekonomi lokal daerahnya.kalo pendapatannya besar tp karena kompensasi ganti rugi itu akhirnya cuman buat masyarakat lokal kebergantungan dengan dana-dana pemerintah dari lini kompensasi, asuransi dari ""si"" ini ""si"" itu."
mjxZeyIYeNo,@zeno5235,2025-06-23 23:49:25+00:00,1,"Jaga alam berlebihan disebut ekstrim! Si Gus Ulil apa berani depan Nabi Muhammad SAW yg melarang merusak lingkungan ketika perang sekalipun, mau bilang Rasulullah Wahabi! Emang tolol Gus satu ini"
mjxZeyIYeNo,@MochamadFitriadi,2025-06-23 22:26:59+00:00,0,Saya ga fokus ke tambangnya tapi ke organisasinya. Kenapa NU sekarang payah dan rusak. Orang JIL diangkat jadi pemimpin plus dipanggil gus rusak kan.
mjxZeyIYeNo,@NayaYahzuani,2025-06-23 16:10:10+00:00,0,"Cukup dengan jawa-sentris. Nasib indo selain jawa, Tanahnya diganggu, lingkungannya dirusak, alamnya dikeruk tpi uangnya?? Kita disuruh diam demi kesatuan, protes dibilangnya anti NKRI."
qN3axfU1Geo,@REDSFAMS,2025-06-23 15:10:55+00:00,0,"Mengapa banyak pakai nikel, 
Alasannya karena gencarnya inovasi go green oleh PBB, makanya muncul mobil listrik motor lostrik, dan kendaraan ramah lingkungan, nah salah satu isi baterai itu ada yang pakai nikel makanya permintaan nikel sangat tinggi dan ini bisnis menguntungkan. Tp daya rusak yang luar biasa"
